trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
247,False,"{'a': 0.01, 'e': 0.08458485900156469}",35,21,2.8694413882738266,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.08374322559219596}",30,17,23.977006399772524,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.08290996657517266}",20,6,5.821460162355248,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.0820849986238988}",20,0,30.100828126394433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.08126823924089167}",25,0,38.7708830640469,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.01, 'e': 0.08045960674953244}",20,0,24.52595957738817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
253,False,"{'a': 0.01, 'e': 0.07965902028589801}",20,9,22.291492378878225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07886639979067495}",25,13,0.4785274985616974,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07808166600115313}",30,16,23.657950233644666,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07730474044329974}",35,21,20.141401317990503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.07653554542391151}",20,4,23.87840172934717,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.01, 'e': 0.07577400402284548}",30,18,20.669737104453617,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.07502004008532698}",25,13,22.799911785449243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.07427357821433388}",25,19,12.59992432104739,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
